version_state,model_year,make,model,mod_gen,power_train,version,trim_level,trim_class,transmission,speeds,doors,body_type,wheelbase_type,wheelbase_mm,wheels,liters,cc,kilowatt,horsepower,number_of_cylinders,engine_configuration,fuel,seating_capacity,gvw_rating,assembly,ex_showroom_price,on_road_price
price chnge,2025,MARUTI SUZUKI,BALENO,2,combustion,1.2 ALPHA,ALPHA,L1,manual,5,5,hatchback,short,2520,front,1.2,1197,66,90,4,in-line,Petrol,5,1410,IND,8.38,9.42
price chnge,2025,MARUTI SUZUKI,BALENO,2,combustion,1.2 ZETA,ZETA,M2,manual,5,5,hatchback,short,2520,front,1.2,1197,66,90,4,in-line,Petrol,5,1410,IND,7.49,8.44
price chnge,2025,MARUTI SUZUKI,BALENO,2,combustion,1.2 ALPHA AGS,ALPHA,L1,automatic,5,5,hatchback,short,2520,front,1.2,1197,66,90,4,in-line,Petrol,5,1410,IND,8.88,9.98
price chnge,2025,MARUTI SUZUKI,BALENO,2,combustion,1.2 ZETA AGS,ZETA,M2,automatic,5,5,hatchback,short,2520,front,1.2,1197,66,90,4,in-line,Petrol,5,1410,IND,7.99,9
price chnge,2025,MARUTI SUZUKI,BALENO,2,combustion,1.2 CNG ZETA,ZETA,M2,manual,5,5,hatchback,short,2520,front,1.2,1197,57,78,4,in-line,CNG,5,1450,IND,9.33,10.46
"price chnge,S",2025,MARUTI SUZUKI,BALENO,2,combustion,1.2 DELTA,DELTA,M1,manual,5,5,hatchback,short,2520,front,1.2,1197,66,90,4,in-line,Petrol,5,1410,IND,6.66,7.54
"price chnge,S",2025,MARUTI SUZUKI,BALENO,2,combustion,1.2 SIGMA,SIGMA,B1,manual,5,5,hatchback,short,2520,front,1.2,1197,66,90,4,in-line,Petrol,5,1410,IND,5.7,6.45
"price chnge,S",2025,MARUTI SUZUKI,BALENO,2,combustion,1.2 DELTA AGS,DELTA,M1,automatic,5,5,hatchback,short,2520,front,1.2,1197,66,90,4,in-line,Petrol,5,1410,IND,7.16,8.09
"price chnge,S",2025,MARUTI SUZUKI,BALENO,2,combustion,1.2 CNG DELTA,DELTA,M1,manual,5,5,hatchback,short,2520,front,1.2,1197,57,78,4,in-line,CNG,5,1450,IND,8.4,9.42
spec chnge,2023,MARUTI SUZUKI,IGNIS,2,combustion,1.2 SIGMA,SIGMA,B1,manual,5,5,hatchback,short,2435,front,1.2,1197,61,83,4,in-line,Petrol,5,1280,IND,5.84,6.58
spec chnge,2023,MARUTI SUZUKI,IGNIS,2,combustion,1.2 DELTA,DELTA,M1,manual,5,5,hatchback,short,2435,front,1.2,1197,61,83,4,in-line,Petrol,5,1280,IND,6.38,7.22
spec chnge,2023,MARUTI SUZUKI,IGNIS,2,combustion,1.2 DELTA AMT,DELTA,M1,automatic,5,5,hatchback,short,2435,front,1.2,1197,61,83,4,in-line,Petrol,5,1280,IND,6.88,7.78
spec chnge,2023,MARUTI SUZUKI,IGNIS,2,combustion,1.2 ZETA,ZETA,M2,manual,5,5,hatchback,short,2435,front,1.2,1197,61,83,4,in-line,Petrol,5,1280,IND,6.96,7.86
spec chnge,2023,MARUTI SUZUKI,IGNIS,2,combustion,1.2 ZETA AMT,ZETA,M2,automatic,5,5,hatchback,short,2435,front,1.2,1197,61,83,4,in-line,Petrol,5,1280,IND,7.46,8.42
spec chnge,2023,MARUTI SUZUKI,IGNIS,2,combustion,1.2 ALPHA,ALPHA,L1,manual,5,5,hatchback,short,2435,front,1.2,1197,61,83,4,in-line,Petrol,5,1280,IND,7.61,8.6
spec chnge,2023,MARUTI SUZUKI,IGNIS,2,combustion,1.2 ALPHA AMT,ALPHA,L1,automatic,5,5,hatchback,short,2435,front,1.2,1197,61,83,4,in-line,Petrol,5,1280,IND,8.11,9.15
price chnge,2025,MARUTI SUZUKI,FRONX,1,MHEV,1.0 TURBO MHEV ZETA,ZETA,M2,manual,5,5,suv,short,2520,front,1,998,74,101,3,in-line,Petrol,5,1480,IND,10.6,12.2
price chnge,2025,MARUTI SUZUKI,FRONX,1,MHEV,1.0 TURBO MHEV ZETA AUTO,ZETA,M2,automatic,6,5,suv,short,2520,front,1,998,74,101,3,in-line,Petrol,5,1480,IND,12.1,13.91
price chnge,2025,MARUTI SUZUKI,FRONX,1,MHEV,1.0 TURBO MHEV ALPHA,ALPHA,L1,manual,5,5,suv,short,2520,front,1,998,74,101,3,in-line,Petrol,5,1480,IND,11.52,13.25
